City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Invermere,CA,62.37,clear sky,50.5167,-116.0354,Copper Point Resort
337,Saint-Pierre,RE,69.48,overcast clouds,-21.3393,55.4781,Alize Plage
341,Xai-Xai,MZ,67.93,light rain,-25.0519,33.6442,Complexo da Familia
343,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
344,Cascais,PT,74.55,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
345,Calabozo,VE,74.66,overcast clouds,8.9242,-67.4293,Hotel Giardini
347,Byron Bay,AU,70.95,light rain,-28.65,153.6167,Backpackers Inn
348,Kolokani,ML,71.1,heavy intensity rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
349,Ponta Do Sol,PT,74.71,few clouds,32.6667,-17.1,Hotel do Campo
350,Karratha,AU,77.22,clear sky,-20.7377,116.8463,ibis Styles Karratha
351,Yenagoa,NG,74.17,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
352,Apac,UG,63.97,overcast clouds,1.9756,32.5386,Double Duez Apac
353,Bundi,IN,75.51,scattered clouds,25.4417,75.6417,Heritage Haveli Raj Palace
354,Asyut,EG,76.41,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
355,Longhua,CN,79.0,overcast clouds,23.6137,114.1919,Huadu Hotel
356,Rantauprapat,ID,73.45,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
357,Tura,IN,75.15,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
359,Morondava,MG,71.38,clear sky,-20.2833,44.2833,La Case Bambou
362,Porto Torres,IT,62.78,clear sky,40.835,8.3972,Hotel Elisa
365,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
367,Auki,SB,74.32,light rain,-8.7676,160.7034,Auki Motel
368,Itarema,BR,77.79,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
369,Tarata,BO,60.64,scattered clouds,-17.6167,-66.0167,Hacienda castillo
371,Laguna,US,78.12,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
376,Jishou,CN,68.09,overcast clouds,28.3167,109.7167,7 Days Inn
377,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
378,Quang Ngai,VN,77.38,overcast clouds,15.1167,108.8,Central Hotel
379,Progress,US,70.39,few clouds,40.2851,-76.8314,Hilton Garden Inn Harrisburg East
382,Meulaboh,ID,77.38,broken clouds,4.1363,96.1285,Kost Pria
386,Mangrol,IN,78.42,few clouds,21.1167,70.1167,Hotel The Royal Honours
387,Minggang,CN,69.28,overcast clouds,32.4586,114.0486,Yindu Hotel
389,Dawei,MM,77.85,overcast clouds,14.0833,98.2,Hotel Dawei
391,Tomatlan,MX,75.85,overcast clouds,19.9333,-105.25,El Salvial
393,Pedra,BR,61.99,clear sky,-8.4969,-36.9408,Pousada Oceanus
394,Abha,SA,65.68,overcast clouds,18.2164,42.5053,Abha Hotel
396,Niamey,NE,78.73,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
398,Avila,ES,61.65,clear sky,40.5833,-5.0,El Carrascal
399,Kumluca,TR,75.04,clear sky,36.3703,30.2869,Akkol Apart
401,Ormara,PK,78.94,few clouds,25.2088,64.6357,Kenara Colony House for Rent
403,Kaeo,NZ,65.91,clear sky,-35.1,173.7833,Bushido Lodge
405,Jinchang,CN,64.6,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
406,Formosa,AR,65.3,few clouds,-26.1775,-58.1781,Asterión Departamentos
408,Grand-Lahou,CI,74.23,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
412,Paita,PE,64.54,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
413,Fort Nelson,CA,64.36,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
416,Denizli,TR,60.39,clear sky,37.8402,29.0698,Anemon Denizli Hotel
419,Pacific Grove,US,70.02,broken clouds,36.6177,-121.9166,Lovers Point Inn
420,Bubaque,GW,77.09,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
425,Apple Valley,US,79.2,clear sky,34.5008,-117.1859,Black Horse Motel
427,Faya,SA,64.92,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
430,Rapid City,US,68.45,clear sky,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
435,Taft,IR,70.47,clear sky,31.7471,54.2088,عمارت ساعتی تفت
438,Cabra,ES,68.99,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
442,Wajima,JP,64.81,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
443,Kamaishi,JP,64.54,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
444,Buala,SB,76.71,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
450,Booue,GA,71.22,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
451,Sierra Vista,US,78.21,scattered clouds,31.5545,-110.3037,Gateway Studio Suites
454,Palmer,US,65.57,broken clouds,42.1584,-72.3287,Wedgewood Motel
457,Fare,PF,78.15,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
458,Lima,PE,60.91,overcast clouds,-12.0432,-77.0282,Hotel Kamana
461,Lujiang,CN,68.9,overcast clouds,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
467,Mana,GF,77.43,overcast clouds,5.6592,-53.7767,LE SAMANA
470,Lagoa,PT,73.33,clear sky,39.05,-27.9833,Casa Das Faias
473,Champerico,GT,77.32,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
476,Kawalu,ID,75.25,overcast clouds,-7.3817,108.2082,West Jontor
477,Mae Hong Son,TH,75.24,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
478,Sorong,ID,77.0,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
480,Trairi,BR,77.59,scattered clouds,-3.2778,-39.2689,janelas do mar
490,Saryozek,KZ,61.56,clear sky,44.3583,77.9753,Gostinitsa
495,Carballo,ES,63.75,clear sky,43.213,-8.691,Pazo do Souto
497,Baisha,CN,74.5,scattered clouds,26.5222,110.9311,Xiangcun Old Place Hotel
500,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
502,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
503,Mount Isa,AU,71.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
504,Ribeira Grande,PT,74.23,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
506,San Quintin,MX,72.28,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
508,Canaries,ES,66.16,few clouds,28.0,-15.5,Villa del Monte
513,Limon,CR,79.05,few clouds,10.0,-83.0333,Hotel Playa Bonita
516,Show Low,US,68.0,broken clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
518,Matay,EG,74.37,clear sky,28.419,30.7792,Nag Aespen
521,Barcelos,PT,72.91,clear sky,41.5388,-8.6151,Hotel Do Terço
524,Corinto,GR,72.9,scattered clouds,37.9407,22.9573,Ephira Hotel
529,Lira,UG,64.18,overcast clouds,2.235,32.9097,ST Lira Hotel Limited
