City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Erdenet,MN,2022-09-15 21:30:00,49.0333,104.0833,39.15,95,100,6.17
149,Palmer,US,2022-09-15 21:27:35,42.1584,-72.3287,70.52,41,20,9.22
150,Auki,SB,2022-09-15 21:30:01,-8.7676,160.7034,83.39,58,46,5.64
151,Mao,ES,2022-09-15 21:30:01,39.8885,4.2658,77.56,83,20,3.44
152,Maniitsoq,GL,2022-09-15 21:30:01,65.4167,-52.9,43.5,96,100,7.05
153,Seddon,AU,2022-09-15 21:30:02,-37.8068,144.8916,53.98,87,20,17.27
154,Puerto Ayora,EC,2022-09-15 21:26:52,-0.7393,-90.3518,75.16,89,71,4.0
155,Luau,AO,2022-09-15 21:30:03,-10.7073,22.2247,72.05,36,97,2.04
156,Deputatskiy,RU,2022-09-15 21:30:04,69.3,139.9,24.26,92,54,1.81
157,Pamanukan,ID,2022-09-15 21:30:04,-6.2842,107.8106,76.69,81,100,4.38
158,Torit,SS,2022-09-15 21:30:04,4.4133,32.5678,72.81,82,96,3.74
159,Tasiilaq,GL,2022-09-15 21:30:05,65.6145,-37.6368,41.16,78,100,1.88
160,Goure,NE,2022-09-15 21:30:05,13.9835,10.2704,88.2,43,85,12.41
161,Hambantota,LK,2022-09-15 21:30:05,6.1241,81.1185,77.34,100,20,4.61
162,Souillac,MU,2022-09-15 21:30:06,-20.5167,57.5167,70.18,78,40,5.75
163,Prachuap Khiri Khan,TH,2022-09-15 21:30:06,12.2167,99.75,74.55,80,100,8.19
164,Haslett,US,2022-09-15 21:30:07,42.747,-84.4011,77.14,63,40,9.22
165,Takoradi,GH,2022-09-15 21:30:07,4.8845,-1.7554,75.45,92,100,8.81
166,Cherskiy,RU,2022-09-15 21:30:08,68.75,161.3,35.37,81,100,6.49
167,Antalaha,MG,2022-09-15 21:30:08,-14.9003,50.2788,65.57,87,35,7.36
168,Nouadhibou,MR,2022-09-15 21:30:08,20.931,-17.0347,74.12,77,26,24.36
169,San Juan Del Sur,NI,2022-09-15 21:30:09,11.2529,-85.8705,86.22,70,40,0.0
170,Sabang,ID,2022-09-15 21:30:09,5.8933,95.3214,81.59,76,100,9.75
171,Olinda,BR,2022-09-15 21:29:37,-8.0089,-34.8553,78.53,65,75,8.05
172,Naze,JP,2022-09-15 21:30:10,28.3667,129.4833,81.52,77,79,19.01
173,Half Moon Bay,US,2022-09-15 21:27:33,37.4636,-122.4286,76.41,68,100,17.27
174,Soyo,AO,2022-09-15 21:30:11,-6.1349,12.3689,74.82,85,89,10.02
175,Torbay,CA,2022-09-15 21:30:11,47.6666,-52.7314,66.58,78,20,14.97
176,Coahuayana,MX,2022-09-15 21:30:11,18.7333,-103.6833,82.72,82,82,5.14
177,Ewo,CG,2022-09-15 21:30:12,-0.8725,14.8206,77.34,71,89,0.2
178,Tarauaca,BR,2022-09-15 21:30:12,-8.1614,-70.7656,72.54,77,97,6.96
179,Iralaya,HN,2022-09-15 21:30:13,15.0,-83.2333,82.18,82,96,11.05
180,Senanga,ZM,2022-09-15 21:30:13,-16.1167,23.2667,71.49,28,30,11.65
181,Mmathubudukwane,BW,2022-09-15 21:30:13,-24.6,26.4333,62.06,38,0,1.79
182,Kasongo,CD,2022-09-15 21:30:15,-4.45,26.6667,70.86,88,100,0.43
183,Valdivia,CL,2022-09-15 21:30:15,-39.8142,-73.2459,55.49,99,100,8.1
184,General Roca,AR,2022-09-15 21:30:16,-39.0333,-67.5833,79.63,15,100,4.47
185,Rocha,UY,2022-09-15 21:29:26,-34.4833,-54.3333,57.63,84,46,7.63
186,Prince George,CA,2022-09-15 21:28:42,53.9166,-122.753,67.62,48,0,4.61
187,Abalak,RU,2022-09-15 21:31:16,58.1286,68.5944,51.15,64,98,6.53
188,Japura,ID,2022-09-15 21:31:17,-0.3167,102.35,72.86,96,100,0.89
189,Mahdalynivka,UA,2022-09-15 21:31:17,48.921,34.9156,58.37,94,70,7.63
190,Banda Aceh,ID,2022-09-15 21:28:33,5.5577,95.3222,78.33,83,100,4.05
191,Panjab,AF,2022-09-15 21:31:18,34.388,67.0233,49.48,37,0,5.3
192,Ust-Charyshskaya Pristan,RU,2022-09-15 21:31:18,52.3934,83.6635,37.69,73,96,5.14
193,Amga,RU,2022-09-15 21:31:18,60.8953,131.9608,40.32,91,99,3.24
194,Taoudenni,ML,2022-09-15 21:31:19,22.6783,-3.9836,97.95,13,5,9.98
195,Pevek,RU,2022-09-15 21:31:19,69.7008,170.3133,35.69,83,100,3.89
196,Parainen,FI,2022-09-15 21:31:20,60.3067,22.301,52.9,83,96,3.69
